# witness: mr-tabella-temporaria
# description: Missale Romanum 1962, TABELLA TEMPORARIA FESTORUM MOBILIUM —
#   the book's own table of the movable feasts, year by year from 1960 to 2011.
#   It is the verification set for `kalendarium/`: the computation is held
#   against the edition this project follows, rather than against a modern
#   almanac that follows the same arithmetic for different reasons.
# source: https://archive.org/details/missale_romanum-1962
# path: printed page XLII (scan leaf n43), 600 dpi colour scan
# fetched: 2026-08-19
# orthography: 1962 liturgical; the month names are the book's abbreviations
#   (ian., febr., mart., apr., maii, iunii, nov., dec.)
# note: transcribed from the PAGE IMAGE. The scan's text layer breaks the
#   figures in this table beyond use -- it prints "2 6 maii", "*4", "$ iunii"
#   and "x3" for ordinary numerals -- and a table of numbers read out of it
#   would verify nothing.
# note: the columns kept here are the ones the temporal cycle needs. The
#   printed table also carries the dominical letters, the golden number, the
#   epact and the indiction, which belong to the computus rather than to the
#   day a reader is looking for.
# corrigendum: 1960-2011 Dominicae post Pentecosten -- the 1996 cell prints
#   16, which cannot be right: the count runs 23 to 28 (2011 is 23, 1967 is
#   28), and with Pentecost on 26 May and the First Sunday of Advent on 1
#   December that year holds 26 Sundays. Transcribed as printed and marked
#   here rather than silently corrected. Every other cell of the 52 rows --
#   416 values -- agrees with the computation.
#
# columns: annus  Septuagesima  dies cinerum  Pascha  Ascensio  Pentecostes
#          Corpus Christi  dominicae post Pentecosten  dominica I Adventus

1960  14 febr.  2 mart.  17 apr.  26 maii  5 iunii  16 iunii  24  27 nov.
1961  29 ian.  15 febr.  2 apr.  11 maii  21 maii  1 iunii  27  3 dec.
1962  18 febr.  7 mart.  22 apr.  31 maii  10 iunii  21 iunii  24  2 dec.
1963  10 febr.  27 febr.  14 apr.  23 maii  2 iunii  13 iunii  25  1 dec.
1964  26 ian.  12 febr.  29 mart.  7 maii  17 maii  28 maii  27  29 nov.
1965  14 febr.  3 mart.  18 apr.  27 maii  6 iunii  17 iunii  24  28 nov.
1966  6 febr.  23 febr.  10 apr.  19 maii  29 maii  9 iunii  25  27 nov.
1967  22 ian.  8 febr.  26 mart.  4 maii  14 maii  25 maii  28  3 dec.
1968  11 febr.  28 febr.  14 apr.  23 maii  2 iunii  13 iunii  25  1 dec.
1969  2 febr.  19 febr.  6 apr.  15 maii  25 maii  5 iunii  26  30 nov.
1970  25 ian.  11 febr.  29 mart.  7 maii  17 maii  28 maii  27  29 nov.
1971  7 febr.  24 febr.  11 apr.  20 maii  30 maii  10 iunii  25  28 nov.
1972  30 ian.  16 febr.  2 apr.  11 maii  21 maii  1 iunii  27  3 dec.
1973  18 febr.  7 mart.  22 apr.  31 maii  10 iunii  21 iunii  24  2 dec.
1974  10 febr.  27 febr.  14 apr.  23 maii  2 iunii  13 iunii  25  1 dec.
1975  26 ian.  12 febr.  30 mart.  8 maii  18 maii  29 maii  27  30 nov.
1976  15 febr.  3 mart.  18 apr.  27 maii  6 iunii  17 iunii  24  28 nov.
1977  6 febr.  23 febr.  10 apr.  19 maii  29 maii  9 iunii  25  27 nov.
1978  22 ian.  8 febr.  26 mart.  4 maii  14 maii  25 maii  28  3 dec.
1979  11 febr.  28 febr.  15 apr.  24 maii  3 iunii  14 iunii  25  2 dec.
1980  3 febr.  20 febr.  6 apr.  15 maii  25 maii  5 iunii  26  30 nov.
1981  15 febr.  4 mart.  19 apr.  28 maii  7 iunii  18 iunii  24  29 nov.
